alpha,cap,global_rmse,well_rmse_mean,well_rmse_median,well_rmse_p90,well_rmse_p95,well_rmse_max,group3_rmse_mean,group3_rmse_p90,group3_rmse_p95,group3_rmse_p99,group3_rmse_max
1.0,75.0,52.07189574157562,29.459634742586523,13.992775803439816,69.44614975775478,118.13561964392869,163.39831583080957,38.629589806759896,84.3381448735015,102.57552236110668,122.6626436229994,144.25473357359817
0.8,75.0,52.02606850521533,29.609491560987763,14.634762840199167,68.66590415071211,118.13964593766178,163.5702679776779,38.61316353264388,84.24840591341108,102.5992723678575,122.8322476608676,144.52639559349893
0.9,75.0,51.945705033479975,29.302630456804827,13.998592537964571,68.60697075290389,118.11515200285986,163.45816740571107,38.423355467429424,84.18666594585449,102.6062919713757,122.74806920971996,144.35210177748965
0.75,75.0,52.16421216016777,29.947652978932183,15.435539170982796,68.76977818030443,118.18096385232552,163.6555790950349,38.87836789054421,84.31157082802814,102.70007806859942,122.83521902024529,144.65533447657438
0.7,75.0,52.385596083844796,30.40028019901201,17.23422458672522,68.96203206419158,118.25543402719263,163.76974568146488,39.271490042706034,84.47803043768243,102.82944204296076,123.05592842149551,144.8209589399136
0.6,75.0,53.15589104289665,31.66001548278968,19.939426984110437,69.69699404944217,118.59478574963016,164.15573337677762,40.50119913294724,85.19226596077138,103.32581789344135,123.47501607837127,145.3347810061932
0.5,75.0,54.51218005939672,33.402449637318185,22.098616515776882,71.28816781550078,119.4099811655759,164.91142731519483,42.39191782197752,86.29076434571381,104.11375588649686,124.10811834020927,146.28032557754318
0.3,none,58.63840025962103,38.15261864928868,24.085479501190495,82.47791627847116,122.44383805170037,157.08109594846638,47.93796946803646,91.75209099586438,105.40190820234238,121.18185800572007,143.3552203982546
0.4,75.0,56.762220367118196,35.67152039340876,23.06854068836888,74.9011727849266,121.18535020670836,166.38629413074878,45.07497288069056,88.6076443526584,105.84463001943756,125.95109595677604,148.20705108107293
0.3,100.0,58.85855509562221,38.20477302851642,24.085479501190495,82.47791627847116,122.45901345316665,159.47953115720736,48.03374559248947,91.75209099586438,105.86464962053431,122.56985989822924,144.83454084417804
0.3,75.0,60.37853326509669,38.61290863996128,24.085479501190495,82.79086762047028,125.60289187276074,169.67265813155694,48.76306862214099,93.4916454868704,109.80379873457565,129.35309489113618,152.646392600807
0.25,none,62.56213054840962,40.30242066825571,25.175796006766486,89.64182787464233,131.09910283401157,168.5497824401214,50.93508608683952,97.65639503941449,112.79881839080473,129.91910720577638,153.5943967085611
0.25,100.0,62.56213054840962,40.30242066825571,25.175796006766486,89.64182787464233,131.09910283401157,168.5497824401214,50.93508608683952,97.65639503941449,112.79881839080473,129.91910720577638,153.5943967085611
0.25,75.0,63.081448134957114,40.429808560012006,25.175796006766486,89.64182787464233,131.48603199824947,173.23288830881933,51.16791417763508,97.96298204727782,113.96069076252783,132.93885323196167,156.8065740310721
1.0,50.0,60.598078416787146,34.8812959901426,17.950616519602608,86.50622681098253,137.15010492598773,183.4850827823536,45.707261597670005,97.10859648446215,117.22958181611125,138.72835333226612,163.5944428846413
0.9,50.0,60.49624915829674,34.69363496993195,18.015543482212646,86.40038018230749,137.14394111573515,183.50262847289585,45.5076922580584,97.07821105574433,117.23026615186069,138.74899349828053,163.62330483691673
